,Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Elev_estacion,Lat_epicentro,Lon_epicentro,Suelo,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Filepath
0,ACAC,INSTITUTO DE INGENIERIA UNAM,2001/10/08 03:39:19.3,03:39:52,5.6,Mb,A,16.84851,-99.85157,5.0,16.94,-100.14,Arena-limo-arcilla,4.0,82.3,33.64676239449155,"['V', 'N90E', 'N00E']",182.99272098593622,100.0,0.8653552195049928,1.7709225935447015,0.7488396559245343,0.12624836139530757,0.030019838299993815,10.972712658452851,3.0193777898083085,C:\Users\huevo\Downloads\Archivos_Acc\ACAC0110-081
1,ACAC,INSTITUTO DE INGENIERIA UNAM,2003/01/22 02:06:34.5,02:08:38,6.5,Mb,S/C,16.84851,-99.85157,5.0,18.6,-104.22,Arena-limo-arcilla,9.0,13.33,523.3360325491786,"['V', 'N90E', 'N00E']",71.83434678520695,100.0,0.46999193664544464,1.7718905900567692,0.22089242051173566,0.04788659689835853,0.009035775334993614,54.42483594923695,7.125313145917687,C:\Users\huevo\Downloads\Archivos_Acc\ACAC0301-221
2,ACAC,INSTITUTO DE INGENIERIA UNAM,2007/04/13 05:42:22,05:42:03,6.3,M,S/C,16.84851,-99.85157,5.0,17.09,-100.44,Arena-limo-arcilla,41.0,99.6231,70.72620421045325,"['N00E', 'V', 'N90E']",287.6030398221126,100.0,0.9744724163347297,1.74222926153237,0.9495964901972468,0.11696104684554012,0.015137151843150946,27.211585298210302,4.635862592130211,C:\Users\huevo\Downloads\Archivos_Acc\ACAC0704-131
3,ACAC,INSTITUTO DE INGENIERIA UNAM,2008/02/12 12:50:18,12:52:31,6.6,M,A,16.84851,-99.85157,13.0,16.19,-94.54,Arena - limo - arcilla,90.0,7.6122,595.1412894741694,"['V', 'N90E', 'N00E']",45.826514459120844,100.0,0.21208632388862225,1.7416029856051183,0.044980608780589584,0.025424649638669326,0.005857239953707335,31.983806670934953,5.43981886390977,C:\Users\huevo\Downloads\Archivos_Acc\ACAC0802-121
4,ACAC,INSTITUTO DE INGENIERIA UNAM,2009/04/27 16:46:27,16:47:08,5.7,M,A,16.84851,-99.85157,13.0,16.9,-99.58,Arena - limo - arcilla,7.0,314.6047,30.735187730172886,"['V', 'N90E', 'N00E']",653.7910817175048,100.0,3.638468175806409,1.6480853126514785,13.238450666356018,0.4349389297206309,0.05523990686461103,27.03845769658772,4.680638531566693,C:\Users\huevo\Downloads\Archivos_Acc\ACAC0904-271
5,ACAC,INSTITUTO DE INGENIERIA UNAM,2010/06/30 07:22:27,07:23:31,6.0,M,A,16.84851,-99.85157,13.0,16.22,-98.03,Arena - limo - arcilla,8.0,9.5477,214.26722949563026,"['VERT', 'N90E', 'N00E']",84.96186839946142,100.0,0.3049862685391728,1.9259091424039878,0.09301662399744844,0.029211585366830804,0.004732774767902324,60.73344266534019,7.428577913249064,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1006-301
6,ACAC,INSTITUTO DE INGENIERIA UNAM,2013/08/21 12:38:30,12:38:29,6.0,M,B,16.84851,-99.85157,13.0,16.79,-99.56,Arena - limo - arcilla,20.0,371.231,33.0674500760427,"['VERT', 'N90E', 'N00E']",675.6699815357725,100.0,3.5250244627681697,1.5211119853134014,12.425797463114023,0.4777713099750142,0.102716589027086,16.339525745194077,3.5963775333516477,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1308-211
7,ACAC,INSTITUTO DE INGENIERIA UNAM,2014/04/18 14:27:23,14:27:43,7.2,M,B,16.84851,-99.85157,13.0,17.18,-101.19,Arena - limo - arcilla,10.0,65.599,153.32326729813323,"['VERT', 'N90E', 'N00E']",437.3671138263876,100.0,1.1833085909439607,1.6426895214774002,1.4002192214017817,0.14506387504928087,0.01059035111590023,26.20997034789636,4.617640050134674,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1404-181
8,ACAC,INSTITUTO DE INGENIERIA UNAM,2014/05/08 17:00:16,17:00:38,6.4,M,B,16.84851,-99.85157,13.0,17.11,-100.87,Arena - limo - arcilla,17.0,61.2293,116.91746916443944,"['V', 'N90E', 'N00E']",270.2519877070544,100.0,1.442026272020742,1.6675704989154012,2.079439769198039,0.16683847198620813,0.009993572405714836,33.32923038870824,5.300940214540755,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1405-081
9,ACAC,INSTITUTO DE INGENIERIA UNAM,2014/05/10 07:36:01,07:36:30,6.1,M,B,16.84851,-99.85157,13.0,17.06,-100.95,Arena - limo - arcilla,12.0,26.22,124.38316734363256,"['V', 'N90E', 'N00E']",102.05182439033152,100.0,0.5875590142433279,1.8612521150592216,0.3452255952185912,0.061609666077346,0.00708671670638266,47.98208141377477,6.449865330609316,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1405-101
10,ACAC,INSTITUTO DE INGENIERIA UNAM,2014/07/29 10:46:14,10:47:39,6.4,M,A,16.84851,-99.85157,13.0,17.7,-95.63,Arena - limo - arcilla,117.0,5.1579,478.870582710899,"['V', 'N90W', 'N00W']",61.32926108053763,200.0,0.08660924840926314,1.972972972972973,0.0075011619100174495,0.00919997028128524,0.00022094697180729376,51.48792364033002,6.8724809797875235,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1407-291
11,ACAC,INSTITUTO DE INGENIERIA UNAM,2016/05/08 07:33:59,07:34:09.150,6.0,M,A,16.84851,-99.85157,13.0,16.25,-97.98,Arena - limo - arcilla,35.0,14.8976,218.49133756183923,"['V', 'N00E', 'N90E']",82.57718652076532,200.0,0.17713005183525754,2.0,0.03137505526316103,0.01782426612271317,0.00020772054377245919,61.88104617542844,7.638396945695536,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1605-081
12,ACAC,INSTITUTO DE INGENIERIA UNAM,2017/12/25 20:23:11,20:22:24.150,5.0,M,A,16.84851,-99.85157,13.0,16.9703,-99.8422,Arena - limo - arcilla,22.2,268.1595,13.58245042501473,"['V', 'N00E', 'N90E']",182.44385941524794,200.0,0.43007098545779165,1.9416666666666667,0.18496105253263603,0.06699422505739254,0.019558126787041292,9.346532463717857,2.8148191980062904,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1712-251
13,ACAC,INSTITUTO DE INGENIERIA UNAM,2018/02/16 23:39:39,23:39:37.150,7.2,M,A,16.84851,-99.85157,13.0,16.218,-98.0135,Arena - limo - arcilla,16.0,43.4166,216.07449363222872,"['V', 'N00E', 'N90E']",302.14423169523354,200.0,0.44799779212973395,1.9148936170212765,0.2007020217531163,0.04680187905944352,0.0006871380252784224,53.940392119157174,7.072493842215867,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1802-161
14,ACAC,INSTITUTO DE INGENIERIA UNAM,2018/02/19 06:56:58,06:57:17.150,6.0,M,A,16.84851,-99.85157,13.0,16.2477,-97.775,Arena - limo - arcilla,10.2,6.5291,240.37441114230757,"['V', 'N00E', 'N90E']",46.43476919823712,200.0,0.09004284948746384,1.90990990990991,0.008107714743822067,0.009313569591641046,0.0001942981497458166,56.33926403997082,7.272487608690408,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1802-191
15,ACAC,INSTITUTO DE INGENIERIA UNAM,2018/05/21 02:15:20,02:15:03.150,5.0,M,A,16.84851,-99.85157,13.0,17.0585,-98.6643,Arena - limo - arcilla,36.2,18.6465,134.06741623127007,"['V', 'N00E', 'N90E']",80.48469313241584,200.0,0.1646417490416767,2.1739130434782608,0.02710690552750245,0.01813679611613143,0.0003817109274433367,41.21331355343678,6.080856012456233,C:\Users\huevo\Downloads\Archivos_Acc\ACAC1805-211
16,ACAC,INSTITUTO DE INGENIERIA UNAM,2020/02/21 01:48:15,01:47:47.825,5.0,M,A,16.84851,-99.85157,13.0,17.2247,-100.464,Arena - limo - arcilla,42.9,10.6484,79.92041387562944,"['V', 'N00E', 'N90E']",35.72398969974997,200.0,0.07424531755494672,3.765765765765766,0.005512367178834879,0.010915370712685538,0.0003259404348756269,20.501181883559504,4.380278841743132,C:\Users\huevo\Downloads\Archivos_Acc\ACAC2002-211
17,ACAC,INSTITUTO DE INGENIERIA UNAM,2020/06/23 15:29:03,15:28:30,7.4,M,B,16.84851,-99.85157,13.0,15.784,-96.12,Arena - limo - arcilla,22.6,11.1053,431.4849751825175,"['HNZ', 'HNN', 'HNE']",125.77406920576331,200.0,0.024031922909323558,1.9168264022001833,0.0005775333187196704,0.0024287847646148834,8.765330298271437e-05,58.909250119554805,7.407269791770473,C:\Users\huevo\Downloads\Archivos_Acc\ACAC2006-231
18,ACAC,INSTITUTO DE INGENIERIA UNAM,2021/03/20 03:06:31,03:05:19.000,5.7,M,A,16.84851,-99.85157,13.0,16.45,-98.97,Arena - limo - arcilla,19.0,20.0353,107.57647262487573,"['HNZ', 'HNN', 'HNE']",86.97773799474467,200.0,0.018699078919808168,2.296459712154638,0.0003496555524492142,0.002606313172760294,0.0005176518113656928,12.992328934779154,3.192451197133078,C:\Users\huevo\Downloads\Archivos_Acc\ACAC2103-201
19,ACAC,INSTITUTO DE INGENIERIA UNAM,1989/04/25 14:29:00.4,14:29:07.00,6.3,Mb,A,16.84851,-99.85157,5.0,16.603,-99.4,Arena - limo - arcilla,19.0,116.8,57.1536105673383,"['V', 'N90E', 'N00E']",326.9170250264614,100.0,0.7313278219273843,1.7103532031170932,0.534840383125052,0.09141251312905586,0.010634782202749715,24.161505080802478,4.5279802625303756,C:\Users\huevo\Downloads\Archivos_Acc\ACAC8904-251
20,ACAC,INSTITUTO DE INGENIERIA UNAM,1995/09/14 14:04:30.5,14:04:56,6.4,Mb,S/C,16.84851,-99.85157,5.0,16.31,-98.88,Arena-limo-arcilla,22.0,70.82,123.518559352584,"['V', 'N90E', 'N00E']",579.5230787484657,100.0,1.848124098339521,1.714898177920686,3.4155626828632677,0.1928340826978588,0.006325386411451487,51.68564173923187,6.795127501342221,C:\Users\huevo\Downloads\Archivos_Acc\ACAC9509-141
21,ACAC,INSTITUTO DE INGENIERIA UNAM,1997/01/11 20:28:27.2,20:29:50,6.5,Mb,A,16.84851,-99.85157,5.0,17.91,-103.04,Arena-limo-arcilla,16.0,13.64,373.66867326215873,"['V', 'N90E', 'N00E']",95.89831226903755,100.0,0.715801845908802,2.041279201633023,0.5123722826064484,0.0740898118839909,0.00800364085847417,48.352604994941856,6.542135556497441,C:\Users\huevo\Downloads\Archivos_Acc\ACAC9701-111
22,ACAC,INSTITUTO DE INGENIERIA UNAM,1999/09/30 16:31:14.8,16:32:23,6.5,Mb,A,16.84851,-99.85157,5.0,15.95,-97.03,Arena-limo-arcilla,16.0,33.67,329.2680124669949,"['V', 'N90E', 'N00E']",320.91932850088216,100.0,1.1877284517175675,1.809045226130653,1.41069887501941,0.12036116105335645,0.007575412776609576,54.27265871313423,6.926157828166658,C:\Users\huevo\Downloads\Archivos_Acc\ACAC9909-301
23,ACAD,INSTITUTO DE INGENIERIA UNAM,2001/10/08 03:39:19.3,03:38:53,5.6,Mb,A,16.86225,-99.87147,6.0,16.94,-100.14,Limo arenoso,4.0,334.499,31.08557988899007,"['V', 'N90E', 'N00E']",422.06063263267146,250.0,0.2833667115421145,5.96991164530765,0.08029669321019194,0.05050214979076814,0.0001846236774523732,9.453225088345782,3.0248234186711898,C:\Users\huevo\Downloads\Archivos_Acc\ACAD0110-081
24,ACAD,INSTITUTO DE INGENIERIA UNAM,2007/04/13 05:42:22,05:42:04.00,6.3,M,S/C,16.86225,-99.87147,6.0,17.09,-100.44,Limo arenoso,41.0,202.874,68.101461416144,"['V', 'N90E', 'N00E']",339.76190004949484,250.0,0.8138555901058455,3.834653619136378,0.662360921546534,0.11893658266735146,0.0004548834381303024,19.67515134482163,4.311377338333999,C:\Users\huevo\Downloads\Archivos_Acc\ACAD0704-131
