Clave,Institucion,Inst,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath
CMCU,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,04/04/2023 02:11,04/04/2023 02:11,5.5,Mw,S/C,19.330278,-99.181023,16.01,-97.06,No clasificado,367.31436,26,0.1663,438.0993239,"['HNZ', ' HNN', ' HNE']",3.509782717,100,0.000559422,0.878087809,3.13E-07,9.29E-05,1.19E-05,12.13531246,3.32211344,438.8701603,BHZ, HNN, HNE,-,-,-,-,-,-,5.5,04/04/2023 02:11,C:\Users\huevo\Downloads\Archivos_Acc\CMCU2304-041
TXCR,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,08:13.8,09:31.2,5.9,Mb,A,19.501514,-98.806198,15.83,-98.25,Roca,506.39758,3,0.24,412.9117129,"['N00E', ' V', ' N90E']",0.997840146,100,0.0040907,0.814416912,1.67E-05,0.000488533,0.000114117,28.98383067,5.083710927,412.922611,BHN,BHZ,BHE,-,-,-,-,-,-,5.85,08:13.8,C:\Users\huevo\Downloads\Archivos_Acc\TXCR9602-251
CHFL,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,20/03/2018 16:43,20/03/2018 16:44,5,Mw,A,17.969493,-97.865638,15.948,-98.7318,Roca,494.87073,14.6,0.2449,244.5446825,"['N90E', ' V', ' N00E']",1.738034213,200,0.002542344,1.344262295,6.46E-06,0.00030299,2.15E-05,37.91092995,5.93772688,244.9801252,BHE,BHZ,BHN,-,-,-,-,-,-,5,20/03/2018 16:43,C:\Users\huevo\Downloads\Archivos_Acc\CHFL1803-201
UNIO,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,20/03/2021 03:06,20/03/2021 03:06,5.7,Mw,A,17.98762,-101.810623,16.45,-98.97,Roca,368.97467,19,0.2794,359.1684633,"['HNZ', ' HNN', ' HNE']",2.937341181,100,0.001061397,2.444513911,1.13E-06,0.000163581,3.96E-05,10.79590166,3.122512824,359.6706619,BHZ, HNN, HNE,-,-,-,-,-,-,5.7,20/03/2021 03:06,C:\Users\huevo\Downloads\Archivos_Acc\UNIO2103-201
CHFL,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,02/08/2019 08:35,02/08/2019 08:35,5,Mw,A,17.969493,-97.865638,18.031,-95.4352,Roca,494.87073,60.5,0.286,270.3389002,"['N90E', ' V', ' N00E']",1.720703071,200,0.001263775,4.429752066,1.60E-06,0.00028198,2.89E-05,4.145952629,2.267117716,277.0259392,BHE,BHZ,BHN,-,-,-,-,-,-,5,02/08/2019 08:35,C:\Users\huevo\Downloads\Archivos_Acc\CHFL1908-021
RABO,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,25/03/2013 23:02,25/03/2013 23:05,6.2,Mw,A,18.569078,-98.445409,14.35,-90.81,Roca,253.38008,198,0.2935,970.013,"['N90W', ' V', ' N00W']",1.488347156,200,0.001767004,3.033057851,3.12E-06,0.000255061,1.63E-05,22.1394136,4.685830777,990.0147576,BHE,BHZ,BHN,-,-,-,-,-,-,6.2,25/03/2013 23:02,C:\Users\huevo\Downloads\Archivos_Acc\RABO1303-251
ACAM,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,19/02/2018 06:56,19/02/2018 06:58,6,Mw,A,20.043186,-100.716777,16.2477,-97.775,Roca,365.82617,10.2,0.2939,533.9645402,"['N00E', ' N90E', ' V']",2.751738548,100,0.006131356,0.539823009,3.76E-05,0.000707424,5.82E-05,41.05646424,6.25744249,534.0619535,BHN,BHE,BHZ,-,-,-,-,-,-,6,19/02/2018 06:56,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1802-191
OXLC,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,27/04/2016 12:51,27/04/2016 12:52,6,Mw,A,17.065039,-96.703157,14.35,-93.26,Roca,348.6579,20,0.3061,487.5712629,"['N90E', ' V', ' N00E']",3.38732895,100,0.004863398,0.839694656,2.37E-05,0.000659794,0.000110596,27.27316905,5.124482585,487.9812869,BHE,BHZ,BHN,-,-,-,-,-,-,6,27/04/2016 12:51,C:\Users\huevo\Downloads\Archivos_Acc\OXLC1604-271
CHFL,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,17/12/2015 19:49,17/12/2015 19:51,6.6,Mw,A,17.969493,-97.865638,15.76,-93.7,Roca,494.87073,90,0.3189,524.3215045,"['N90W', ' V', ' N00W']",5.782122737,200,0.003982614,0.796511628,1.59E-05,0.000471145,2.61E-05,31.5519057,5.330356458,531.9896992,BHE,BHZ,BHN,-,-,-,-,-,-,6.6,17/12/2015 19:49,C:\Users\huevo\Downloads\Archivos_Acc\CHFL1512-171
CHFL,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,11/04/2012 22:55,11/04/2012 22:56,6.4,Mw,A,17.969493,-97.865638,17.9,-103.06,Roca,494.87073,16,0.3383,577.6383857,"['N90W', ' V', ' N00W']",4.594595468,200,0.005365303,0.770833333,2.88E-05,0.000576184,1.99E-05,48.43668698,6.816089784,577.8599351,BHE,BHZ,BHN,-,-,-,-,-,-,6.4,11/04/2012 22:55,C:\Users\huevo\Downloads\Archivos_Acc\CHFL1204-111
