Categories,Encodings
Alto riesgo sismico,33.6908274115204
Aluvial,44.276666314707946
Arcilla,32.823017845092465
"Arenoso, limoso, compacto",26.327030834953433
Blando,24.810286417881752
Deposito barra,36.36694105073888
Depositos lacustres,33.228586399023605
Edificio,32.63318932972712
Estructura,29.08658697900481
Granito,35.61953488041968
Granito alterado,32.526313765263566
Limo arenoso,54.49238102591826
Mediana compresibilidad,32.40859099298634
Montado sobre tuberia de concreto,31.324685757468117
Monumento arqueologico,31.959340682442914
No clasificado,38.847097797266784
Presa concreto,32.563551389025946
Relleno semicompactado,31.289619719732272
Roca,33.001421872197476
Suelo,25.587519373094974
Suelo duro,27.123360080403284
"Terreno blando, material compresible",32.90196294199333
Terreno estratificado,31.57492531477829
"Terreno firme, materiales compactos",29.237753712029193
Terreno libre,29.753131163318038
Transicion,28.63126756125964
Travertino,28.521564148712365
