Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
PUVA,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:43,7.2,Mw,A,20.626163,-105.219166,16.218,-98.0135,Roca,625.00989,16.0,0.8069,939.2748248,"['N00E', ' N90E', ' V']",9.626143439,100.0,0.020275137,0.491803279,0.000411081,0.002055691,0.000294731,59.12503781,7.516149092,939.4110903,BHN,BHE,BHZ,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PUVA1802-162,1.662040873695915,-0.09318028453345462,0.22064169995490077
CE18,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3398,-99.0847,16.21,-98.01,"Arenoso, limoso, compacto",501.85263,16.0,6.591,367.9632836,"['N00E', ' +V', ' N90W']",61.46857789,100.0,0.061824345,0.385015609,0.00382225,0.006892069,0.000437217,34.8384581,5.429378465,368.3109801,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CE1820180216233939,10.739594158613476,0.8189513116401728,1.0309878700036745
RI76,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4473,-99.1,16.21,-98.01,Arcilla,206.17137,16.0,24.83931,379.8281188,"['N00E', ' +V', ' N90W']",606.9307606,100.0,0.19420964,0.412449393,0.037717384,0.018495826,0.000344024,70.82395899,8.165744015,380.164964,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\RI7620180216233939,28.499957518536693,1.3951395276013792,1.4548442126583752
RM48,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4359,-99.128,16.21,-98.01,Arcilla,237.56683,16.0,23.1624,379.6350914,"['N00E', ' +V', ' N90W']",436.6690717,100.0,0.290607476,0.506379585,0.084452705,0.02770026,0.000463914,71.11174197,8.184635681,379.9721077,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\RM4820180216233939,25.035449836781098,1.3647835573332383,1.3985553992051356
VHSA,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:41,7.2,Mw,A,17.982551,-92.938748,16.218,-98.0135,Blando,227.67941,16.0,2.6669,597.4257003,"['N90E', ' V', ' N00E']",84.09634033,100.0,0.05205969,0.380952381,0.002710211,0.005109616,0.000770096,63.24973046,7.739057149,597.6399145,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\VHSA1802-161,4.742291746330219,0.4260067313770111,0.6759882683102066
CO47,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3714,-99.1703,16.21,-98.01,Terreno estratificado,281.39624,16.0,13.25806,374.4603017,"['S00E', ' +V', ' N90W']",149.0345324,100.0,0.071100535,0.54192229,0.005055286,0.010601375,0.000458537,18.59546169,4.352253571,374.8019711,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CO4720180216233939,16.46943459105223,1.1224799801069114,1.2166786897464987
PA34,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.2016,-99.0491,16.21,-98.01,"Arenoso, limoso, compacto",498.52213,16.0,10.82115,352.145735,"['N00E', ' +V', ' N90W']",124.7474353,100.0,0.05735791,0.515337423,0.00328993,0.007609037,0.000356565,24.97676906,4.879544197,352.5090334,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PA3420180216233939,12.444732457233387,1.0342734171582342,1.0949855643760156
CE23,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4619,-99.0642,16.21,-98.01,"Terreno blando, material compresible",234.37749,16.0,17.37208,380.1206515,"['S00E', ' +V', ' N90W']",415.9724135,100.0,0.084937861,0.363821829,0.00721444,0.00817181,0.000154617,71.0838748,8.220531146,380.4572376,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CE2320180216233939,24.34762963021602,1.239851820660175,1.3864566867569672
LV17,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:38,7.2,Mc,A,19.4931,-99.1275,16.21,-98.01,"Terreno blando, material compresible",180.0,16.0,31.38514,385.6324657,"['N00E', ' +V', ' N90W']",474.0505897,100.0,0.215281288,0.726812342,0.046346033,0.022033929,0.000284645,55.41719151,7.211104892,385.9642452,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\LV1720180216233939,29.10949177930908,1.49672407025268,1.4640346231863755
CJ03,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.4097,-99.1567,16.21,-98.01,"Terreno blando, material compresible",230.02853,16.0,25.25804,377.9482817,"['N00E', ' +V', ' N90W']",430.0058545,100.0,0.300044026,0.592376043,0.090026417,0.029998682,0.000139143,57.17067011,7.256620806,378.2868008,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CJ0320180216233939,27.212916219251582,1.402399646686038,1.4347750845973124
