Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
CE18,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3398,-99.0847,16.21,-98.01,"Arenoso, limoso, compacto",501.85263,16,6.591,367.9632836,"['N00E', ' +V', ' N90W']",61.46857789,100,0.061824345,0.385015609,0.00382225,0.006892069,0.000437217,34.8384581,5.429378465,368.3109801,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CE1820180216233939,14.331786,0.818951311640173,1.156300319443
RI76,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4473,-99.1,16.21,-98.01,Arcilla,206.17137,16,24.83931,379.8281188,"['N00E', ' +V', ' N90W']",606.9307606,100,0.19420964,0.412449393,0.037717384,0.018495826,0.000344024,70.82395899,8.165744015,380.164964,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\RI7620180216233939,30.19315,1.39513952760138,1.47990841835837
RM48,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4359,-99.128,16.21,-98.01,Arcilla,237.56683,16,23.1624,379.6350914,"['N00E', ' +V', ' N90W']",436.6690717,100,0.290607476,0.506379585,0.084452705,0.02770026,0.000463914,71.11174197,8.184635681,379.9721077,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\RM4820180216233939,28.759119,1.36478355733324,1.45877557835154
CO47,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.3714,-99.1703,16.21,-98.01,Terreno estratificado,281.39624,16,13.25806,374.4603017,"['S00E', ' +V', ' N90W']",149.0345324,100,0.071100535,0.54192229,0.005055286,0.010601375,0.000458537,18.59546169,4.352253571,374.8019711,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CO4720180216233939,17.8185,1.12247998010691,1.25087115403242
PA34,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.2016,-99.0491,16.21,-98.01,"Arenoso, limoso, compacto",498.52213,16,10.82115,352.145735,"['N00E', ' +V', ' N90W']",124.7474353,100,0.05735791,0.515337423,0.00328993,0.007609037,0.000356565,24.97676906,4.879544197,352.5090334,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\PA3420180216233939,14.331786,1.03427341715823,1.156300319443
CE23,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4619,-99.0642,16.21,-98.01,"Terreno blando, material compresible",234.37749,16,17.37208,380.1206515,"['S00E', ' +V', ' N90W']",415.9724135,100,0.084937861,0.363821829,0.00721444,0.00817181,0.000154617,71.0838748,8.220531146,380.4572376,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CE2320180216233939,28.759119,1.23985182066017,1.45877557835154
LV17,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:38,7.2,Mc,A,19.4931,-99.1275,16.21,-98.01,"Terreno blando, material compresible",180,16,31.38514,385.6324657,"['N00E', ' +V', ' N90W']",474.0505897,100,0.215281288,0.726812342,0.046346033,0.022033929,0.000284645,55.41719151,7.211104892,385.9642452,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\LV1720180216233939,31.607471,1.49672407025268,1.499789754547
CJ03,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:39,7.2,Mc,A,19.4097,-99.1567,16.21,-98.01,"Terreno blando, material compresible",230.02853,16,25.25804,377.9482817,"['N00E', ' +V', ' N90W']",430.0058545,100,0.300044026,0.592376043,0.090026417,0.029998682,0.000139143,57.17067011,7.256620806,378.2868008,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CJ0320180216233939,28.759119,1.40239964668604,1.45877557835154
TL55,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4536,-99.1425,16.21,-98.01,"Terreno blando, material compresible",202.45233,16,23.27666,382.0237127,"['S00E', ' +V', ' N90W']",361.7682853,100,0.175315105,0.659128516,0.030735386,0.018059797,0.000199875,54.44905033,7.113646824,382.3586237,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\TL5520180216233939,30.19315,1.36692066293512,1.47990841835837
S160,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 00:00,7.2,Mc,A,19.393,-99.147,16.21,-98.01,Alto riesgo sismico,232.70119,16,32.18543,375.8365141,"['N00E', ' +V', ' N90W']",588.3256734,200,0.196410584,0.714285714,0.038577118,0.019222539,0.000457186,70.27023485,8.212132291,376.1769336,BHN,BHZ,BHE,"-","-","-","-","-","-",7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\S16020180216233939,26.640627,1.50765931571385,1.42554444043815
