,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
0,16.858,-99.894,44.276666314707946,431.98129,15.820189466703598,43.01486248684749,40,6.5,299.73065,2.476731
1,18.113,-94.391,44.276666314707946,299.77307,615.3022446779645,616.6010479278654,40,6.5,-5.5232506,-5.5232506
2,17.082872,-96.718744,44.276666314707946,424.53152,343.40951953130485,345.7312512700026,40,6.5,14.731262,1.16824
4,17.98,-94.541,44.276666314707946,335.6441,596.0277991058304,597.3685104748492,40,6.5,1.5475875,0.18965521
5,19.416,-99.011,32.63318932972712,194.12999,286.05950991764126,288.842592451877,40,6.5,22.205133,1.3464534
8,16.836,-99.914,35.61953488041968,345.5799,19.121001361593386,44.335230833616464,40,6.5,352.91202,2.5476665
9,19.0,-99.205,27.123360080403284,808.35675,235.4855731780216,238.85865103651022,40,6.5,6.3477006,0.8026164
13,19.326,-99.182,33.001421872197476,393.42136,271.087163513094,274.0223535071089,40,6.5,7.295295,0.86304283
14,19.039943,-98.215087,28.521564148712365,364.50735,290.3152004486201,293.0578707551163,40,6.5,6.1278777,0.78731006
15,17.933,-102.2,38.847097797266784,230.4633,287.0750869471308,289.84841822184006,40,6.5,20.978333,1.3217709
16,17.933,-102.2,38.847097797266784,230.4633,287.0750869471308,289.84841822184006,40,6.5,20.978333,1.3217709
19,19.45,-99.144,32.63318932972712,202.45233,285.4978609255717,288.2863656038507,40,6.5,16.011032,1.2044194
21,19.418,-99.14,32.63318932972712,213.8649,282.17727603165355,284.9982721151902,40,6.5,27.162506,1.4339699
22,19.43,-98.95,32.823017845092465,223.32445,289.6952424999754,292.4437271119344,40,6.5,31.073133,1.492385
25,19.358,-99.171,32.823017845092465,296.19205,274.83996122126246,277.73549338193175,40,6.5,13.147357,1.1188384
26,19.48,-98.991,32.823017845092465,184.53062,293.5149466495088,296.2279931179091,40,6.5,17.846666,1.2515571
27,18.358,-100.658,38.847097797266784,231.70877,181.24875264330132,185.61010299752712,40,6.5,22.103756,1.3444661
30,19.083,-102.35,38.847097797266784,449.18433,367.8858709918911,370.05406912431374,40,6.5,3.9426248,0.59578544
31,17.553,-99.5,33.001421872197476,446.94415,73.26058100924536,83.46923223447189,40,6.5,148.46445,2.1716225
33,19.536,-99.261,33.001421872197476,509.01144,291.7765240369729,294.50558565008276,40,6.5,4.772606,0.6787556
36,19.33,-99.183,33.001421872197476,367.31436,271.48885049221906,274.4197440811912,40,6.5,8.995369,0.954019
37,16.803,-99.395,44.276666314707946,260.58636,49.18487312352429,63.39678023509697,40,6.5,105.680885,2.0239964
38,17.827,-97.727,32.563551389025946,396.59586,249.9845935546355,253.16456508499823,40,6.5,15.743262,1.1970947
46,19.394694,-99.148678,32.823017845092465,232.70119,279.42357783179887,282.27209541207463,40,6.5,18.392115,1.2646316
47,17.226169,-100.638345,33.001421872197476,560.17114,96.97573254645303,104.90134747905381,40,6.5,15.115955,1.1794356
48,19.293,-99.035,32.823017845092465,264.15567,272.2317952863508,275.1547752898895,40,6.5,20.54859,1.312782
49,18.07287,-102.754441,33.001421872197476,600.0,350.1798373330769,352.4569739338692,40,6.5,0.94186306,-0.026012236
50,17.98762,-101.810623,33.001421872197476,368.97467,250.12952763905668,253.307679703829,40,6.5,8.599577,0.9344771
52,17.60654,-101.46526,33.001421872197476,272.40625,197.75574521279773,201.7605877387082,40,6.5,9.876311,0.99459475
53,19.366,-99.086,32.823017845092465,253.78503,278.26671863038325,281.1269583254528,40,6.5,14.912956,1.1735637
55,17.045,-100.266,24.810286417881752,223.78697,51.95278743620439,65.56746237571984,40,6.5,54.707382,1.7380459
56,18.045264,-102.188937,33.001421872197476,434.26093,290.8443489893173,293.5820759839057,40,6.5,4.448785,0.6482414
57,17.213361,-100.432269,33.001421872197476,333.58603,74.85481014485511,84.87191880605918,40,6.5,100.02031,2.0000882
58,18.009,-102.178,32.823017845092465,283.37213,288.0942082523094,290.85782236090023,40,6.5,11.581797,1.0637759
59,19.33,-99.183,33.001421872197476,367.31436,271.48885049221906,274.4197440811912,40,6.5,8.995369,0.954019
60,19.279,-99.008,32.823017845092465,186.07877,271.71883435947416,274.64727369058545,40,6.5,23.551657,1.3720214
61,19.33,-99.183,33.001421872197476,367.31436,271.48885049221906,274.4197440811912,40,6.5,8.995369,0.954019
62,18.61763,-99.454086,33.001421872197476,442.72336,187.42601628639582,191.64684078008779,40,6.5,21.125238,1.3248016
63,16.769,-99.633,33.001421872197476,311.88687,29.331864178021426,49.60199850971628,40,6.5,121.12903,2.0832481
