,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
0,19.330278,-99.181023,38.847097797266784,367.31436,271.90272486165077,272.26290931228687,14,8.1,66.90381,1.8254509
1,19.501514,-98.806198,33.001421872197476,506.39758,302.50050622156033,302.824299329331,14,8.1,40.190018,1.6041182
2,17.969493,-97.865638,33.001421872197476,494.87073,239.48361252479248,239.8924773058233,14,8.1,44.619743,1.6495271
3,17.98762,-101.810623,33.001421872197476,368.97467,254.65150640095308,255.0360557103145,14,8.1,39.538902,1.5970246
5,18.569078,-98.445409,33.001421872197476,253.38008,231.8082524738824,232.23063087154375,14,8.1,52.506454,1.7202127
6,20.043186,-100.716777,33.001421872197476,365.82617,359.1904946853387,359.4632268707028,14,8.1,34.817432,1.5417967
7,17.065039,-96.703157,33.001421872197476,348.6579,340.78835352321795,341.0758008083625,14,8.1,34.817432,1.5417967
11,19.421758,-102.074059,33.001421872197476,514.78662,375.5541564394703,375.8150135624735,14,8.1,38.940678,1.5904036
14,19.529875,-96.901973,33.001421872197476,470.97733,428.17242054389664,428.4012391606956,14,8.1,37.156567,1.5700356
15,19.33,-99.183,33.001421872197476,367.31436,271.8201985100054,272.18049217021183,14,8.1,36.1404,1.5579929
20,19.00147,-98.18227,33.001421872197476,364.29205,287.6522306934501,287.99271835051286,14,8.1,35.167713,1.5461441
21,19.33024,-99.181076,33.001421872197476,367.31436,271.89721234167916,272.2574040851344,14,8.1,36.1404,1.5579929
22,16.70858,-92.625515,33.001421872197476,474.86072,794.4622051990735,794.5855495097899,14,8.1,8.145857,0.9109368
25,18.535047,-101.323693,33.001421872197476,239.8848,246.6371866789398,247.0342119077886,14,8.1,47.94681,1.6807598
27,19.054336,-104.297848,33.001421872197476,262.17523,555.3144102392454,555.4908588081004,14,8.1,22.241966,1.3471732
33,20.626163,-105.219166,33.001421872197476,625.00989,730.9078208496527,731.0418883888857,14,8.1,14.682948,1.1668133
38,16.26116,-96.57529,33.001421872197476,466.70978,363.1060549327619,363.3758483014988,14,8.1,40.388565,1.6062584
40,18.567007,-101.977162,33.001421872197476,365.34225,304.2066579683016,304.5286369986298,14,8.1,34.817432,1.5417967
49,19.330241,-98.256828,33.001421872197476,590.98724,312.82396520727536,313.13708373171426,14,8.1,42.14638,1.6247603
53,16.031121,-95.670297,33.001421872197476,533.6394,466.8887349351086,467.0985878905074,14,8.1,19.392294,1.2876291
55,21.523494,-104.909994,33.001421872197476,537.31055,764.926340729856,765.054446913661,14,8.1,21.177675,1.3258783
57,19.373,-99.098,32.823017845092465,211.91898,278.8336211931878,279.1848640376232,14,8.1,51.663376,1.7131828
60,19.109501,-98.226919,33.001421872197476,412.96628,294.3272535036839,294.66002809173455,14,8.1,34.622677,1.5393606
73,20.62461,-103.235717,33.001421872197476,493.66428,561.48081733929,561.6553286847701,14,8.1,16.542402,1.2185986
77,16.565153,-94.616947,33.001421872197476,324.77359,574.1956558429908,574.3663040159671,14,8.1,12.673396,1.102893
80,16.445191,-95.444705,33.001421872197476,384.52698,483.8514845152317,484.0539836295054,14,8.1,13.116335,1.1178125
81,17.798341,-98.559717,33.001421872197476,853.57428,163.59857589801047,164.19651042533482,14,8.1,71.8242,1.8562708
84,19.045439,-98.208468,29.753131163318038,334.21683,289.7830498061899,290.121036732907,14,8.1,34.923855,1.5431222
89,17.067337,-96.723804,33.001421872197476,451.50266,338.5032242920958,338.79261039188106,14,8.1,40.179752,1.6040072
92,18.095563,-99.560805,33.001421872197476,429.57571,128.75147207003948,129.5103917073922,14,8.1,117.41916,2.0697389
93,18.477554,-97.383184,33.001421872197476,464.60016,314.36791184266576,314.67949408297653,14,8.1,40.388565,1.6062584
98,19.404505,-99.195246,27.123360080403284,436.99353,279.56042778511653,279.91075860601956,14,8.1,45.653423,1.6594733
111,17.535396,-101.262608,33.001421872197476,329.83124,178.4508897270896,178.9992179993809,14,8.1,45.720364,1.6601096
112,19.699521,-103.447815,33.001421872197476,622.10376,510.5611523868752,510.75306198457,14,8.1,17.56637,1.2446821
114,19.928698,-99.833027,33.001421872197476,529.00757,330.63294753008427,330.92921598497685,14,8.1,40.190018,1.6041182
115,18.61763,-99.454086,33.001421872197476,442.72336,187.99193768543168,188.51251585696698,14,8.1,54.25236,1.7344186
116,19.044324,-96.414773,44.276666314707946,292.61612,439.0696011328016,439.2927436674973,14,8.1,68.52897,1.8358742
117,19.394694,-99.148678,32.823017845092465,232.70119,279.72353645075157,280.0736632468589,14,8.1,50.229347,1.7009575
124,16.01435,-97.43863,33.001421872197476,283.59097,279.17137303676185,279.5221914682819,14,8.1,36.737553,1.5651102
126,19.2922,-99.1708,29.237753712029193,366.55466,268.07188336322605,268.43720802062273,14,8.1,38.351883,1.5837867
127,16.284353,-97.820692,33.001421872197476,341.53195,228.83831773288355,229.26616772392774,14,8.1,43.07885,1.6342641
130,18.07287,-102.754441,33.001421872197476,600.0,354.7480324852651,355.02417741918185,14,8.1,39.595604,1.597647
134,17.078389,-96.744158,44.276666314707946,491.28497,336.28897752834996,336.58026740595335,14,8.1,78.5104,1.8949271
